filename,width,height,x_1,y_1,x_2,y_2
D:\DA_Projects\CV_Projects\Cigarettes\cig_butts\train\images00000033.jpg,512,512,156.5,194.5,63.0,55.0
D:\DA_Projects\CV_Projects\Cigarettes\cig_butts\train\images00000034.jpg,512,512,282.5,75.5,58.0,90.0
D:\DA_Projects\CV_Projects\Cigarettes\cig_butts\train\images00000035.jpg,512,512,361.5,262.5,114.0,106.0
D:\DA_Projects\CV_Projects\Cigarettes\cig_butts\train\images00000036.jpg,512,512,296.5,284.5,61.0,83.0
D:\DA_Projects\CV_Projects\Cigarettes\cig_butts\train\images00000037.jpg,512,512,109.5,116.5,96.0,72.0
D:\DA_Projects\CV_Projects\Cigarettes\cig_butts\train\images00000038.jpg,512,512,281.5,173.5,74.0,67.0
D:\DA_Projects\CV_Projects\Cigarettes\cig_butts\train\images00000039.jpg,512,512,299.5,215.5,151.0,131.0
D:\DA_Projects\CV_Projects\Cigarettes\cig_butts\train\images00000040.jpg,512,512,142.5,123.5,27.0,42.0
D:\DA_Projects\CV_Projects\Cigarettes\cig_butts\train\images00000041.jpg,512,512,219.5,401.5,59.0,24.0
D:\DA_Projects\CV_Projects\Cigarettes\cig_butts\train\images00000042.jpg,512,512,93.5,313.5,151.0,52.0
D:\DA_Projects\CV_Projects\Cigarettes\cig_butts\train\images00000043.jpg,512,512,72.5,229.5,93.0,64.0
D:\DA_Projects\CV_Projects\Cigarettes\cig_butts\train\images00000044.jpg,512,512,98.5,267.5,78.0,111.0
D:\DA_Projects\CV_Projects\Cigarettes\cig_butts\train\images00000045.jpg,512,512,151.5,178.5,41.0,90.0
D:\DA_Projects\CV_Projects\Cigarettes\cig_butts\train\images00000046.jpg,512,512,315.5,330.5,105.0,39.0
D:\DA_Projects\CV_Projects\Cigarettes\cig_butts\train\images00000047.jpg,512,512,140.5,91.5,59.0,45.0
D:\DA_Projects\CV_Projects\Cigarettes\cig_butts\train\images00000048.jpg,512,512,367.5,161.5,74.0,111.0
D:\DA_Projects\CV_Projects\Cigarettes\cig_butts\train\images00000049.jpg,512,512,173.5,203.5,61.0,89.0
D:\DA_Projects\CV_Projects\Cigarettes\cig_butts\train\images00000050.jpg,512,512,88.5,85.5,33.0,110.0
D:\DA_Projects\CV_Projects\Cigarettes\cig_butts\train\images00000051.jpg,512,512,151.5,21.5,57.0,37.0
D:\DA_Projects\CV_Projects\Cigarettes\cig_butts\train\images00000052.jpg,512,512,260.0,396.0,66.5,33.5
D:\DA_Projects\CV_Projects\Cigarettes\cig_butts\train\images00000053.jpg,512,512,68.5,91.5,86.0,73.0
D:\DA_Projects\CV_Projects\Cigarettes\cig_butts\train\images00000054.jpg,512,512,347.5,166.5,80.0,82.0
D:\DA_Projects\CV_Projects\Cigarettes\cig_butts\train\images00000055.jpg,512,512,152.5,341.5,58.0,56.0
D:\DA_Projects\CV_Projects\Cigarettes\cig_butts\train\images00000056.jpg,512,512,24.5,394.5,77.0,73.0
D:\DA_Projects\CV_Projects\Cigarettes\cig_butts\train\images00000057.jpg,512,512,412.5,201.5,50.0,85.0
D:\DA_Projects\CV_Projects\Cigarettes\cig_butts\train\images00000058.jpg,512,512,327.5,140.5,74.0,53.0
D:\DA_Projects\CV_Projects\Cigarettes\cig_butts\train\images00000059.jpg,512,512,367.5,105.5,56.0,123.0
D:\DA_Projects\CV_Projects\Cigarettes\cig_butts\train\images00000060.jpg,512,512,433.5,94.5,45.0,75.0
D:\DA_Projects\CV_Projects\Cigarettes\cig_butts\train\images00000061.jpg,512,512,123.5,234.5,94.0,52.0
D:\DA_Projects\CV_Projects\Cigarettes\cig_butts\train\images00000062.jpg,512,512,379.5,246.5,76.0,28.0
D:\DA_Projects\CV_Projects\Cigarettes\cig_butts\train\images00000063.jpg,512,512,130.5,205.5,60.0,63.0
D:\DA_Projects\CV_Projects\Cigarettes\cig_butts\train\images00000064.jpg,512,512,125.5,19.5,22.0,65.0
D:\DA_Projects\CV_Projects\Cigarettes\cig_butts\train\images00000065.jpg,512,512,361.5,403.5,91.0,74.0
D:\DA_Projects\CV_Projects\Cigarettes\cig_butts\train\images00000066.jpg,512,512,419.5,14.5,50.0,88.0
D:\DA_Projects\CV_Projects\Cigarettes\cig_butts\train\images00000067.jpg,512,512,344.5,81.5,76.0,52.0
D:\DA_Projects\CV_Projects\Cigarettes\cig_butts\train\images00000068.jpg,512,512,130.5,241.5,54.0,130.0
D:\DA_Projects\CV_Projects\Cigarettes\cig_butts\train\images00000069.jpg,512,512,232.5,172.5,50.0,67.0
D:\DA_Projects\CV_Projects\Cigarettes\cig_butts\train\images00000070.jpg,512,512,189.5,220.5,144.0,52.0
D:\DA_Projects\CV_Projects\Cigarettes\cig_butts\train\images00000071.jpg,512,512,252.5,118.5,100.0,72.0
D:\DA_Projects\CV_Projects\Cigarettes\cig_butts\train\images00000072.jpg,512,512,325.5,264.5,63.0,122.0
D:\DA_Projects\CV_Projects\Cigarettes\cig_butts\train\images00000073.jpg,512,512,190.5,64.5,59.0,75.0
D:\DA_Projects\CV_Projects\Cigarettes\cig_butts\train\images00000074.jpg,512,512,303.5,154.5,57.0,51.0
D:\DA_Projects\CV_Projects\Cigarettes\cig_butts\train\images00000075.jpg,512,512,38.5,68.5,88.0,23.0
D:\DA_Projects\CV_Projects\Cigarettes\cig_butts\train\images00000076.jpg,512,512,76.5,324.5,83.0,98.0
D:\DA_Projects\CV_Projects\Cigarettes\cig_butts\train\images00000077.jpg,512,512,360.5,416.5,63.0,36.0
D:\DA_Projects\CV_Projects\Cigarettes\cig_butts\train\images00000078.jpg,512,512,328.5,377.5,49.0,95.0
D:\DA_Projects\CV_Projects\Cigarettes\cig_butts\train\images00000079.jpg,512,512,186.5,298.5,32.0,158.0
D:\DA_Projects\CV_Projects\Cigarettes\cig_butts\train\images00000080.jpg,512,512,29.5,367.5,32.0,58.0
D:\DA_Projects\CV_Projects\Cigarettes\cig_butts\train\images00000081.jpg,512,512,83.5,191.5,82.0,63.0
D:\DA_Projects\CV_Projects\Cigarettes\cig_butts\train\images00000082.jpg,512,512,289.5,93.5,32.0,93.0
D:\DA_Projects\CV_Projects\Cigarettes\cig_butts\train\images00000083.jpg,512,512,263.5,250.5,56.0,58.0
D:\DA_Projects\CV_Projects\Cigarettes\cig_butts\train\images00000084.jpg,512,512,404.5,345.5,55.0,83.0
D:\DA_Projects\CV_Projects\Cigarettes\cig_butts\train\images00000085.jpg,512,512,214.5,209.5,101.0,117.0
D:\DA_Projects\CV_Projects\Cigarettes\cig_butts\train\images00000086.jpg,512,512,344.5,243.5,66.5,44.0
D:\DA_Projects\CV_Projects\Cigarettes\cig_butts\train\images00000087.jpg,512,512,284.5,362.5,127.0,45.0
D:\DA_Projects\CV_Projects\Cigarettes\cig_butts\train\images00000088.jpg,512,512,356.5,61.5,138.0,114.0
D:\DA_Projects\CV_Projects\Cigarettes\cig_butts\train\images00000089.jpg,512,512,61.5,185.5,68.0,96.0
D:\DA_Projects\CV_Projects\Cigarettes\cig_butts\train\images00000090.jpg,512,512,187.5,288.5,102.0,90.0
D:\DA_Projects\CV_Projects\Cigarettes\cig_butts\train\images00000091.jpg,512,512,327.5,127.5,94.0,143.0
D:\DA_Projects\CV_Projects\Cigarettes\cig_butts\train\images00000092.jpg,512,512,177.5,178.5,58.0,69.0
D:\DA_Projects\CV_Projects\Cigarettes\cig_butts\train\images00000093.jpg,512,512,299.5,170.5,61.0,45.0
D:\DA_Projects\CV_Projects\Cigarettes\cig_butts\train\images00000094.jpg,512,512,393.5,337.5,59.0,95.0
D:\DA_Projects\CV_Projects\Cigarettes\cig_butts\train\images00000095.jpg,512,512,179.5,375.5,89.0,93.0
D:\DA_Projects\CV_Projects\Cigarettes\cig_butts\train\images00000096.jpg,512,512,168.5,91.5,57.0,56.0
D:\DA_Projects\CV_Projects\Cigarettes\cig_butts\train\images00000097.jpg,512,512,415.5,110.5,68.0,63.0
D:\DA_Projects\CV_Projects\Cigarettes\cig_butts\train\images00000098.jpg,512,512,354.5,89.5,33.0,59.0
D:\DA_Projects\CV_Projects\Cigarettes\cig_butts\train\images00000099.jpg,512,512,89.5,282.5,48.0,99.0
D:\DA_Projects\CV_Projects\Cigarettes\cig_butts\train\images00000100.jpg,512,512,32.5,230.5,70.5,47.0
D:\DA_Projects\CV_Projects\Cigarettes\cig_butts\train\images00000101.jpg,512,512,348.5,240.5,59.0,48.0
D:\DA_Projects\CV_Projects\Cigarettes\cig_butts\train\images00000102.jpg,512,512,142.5,65.5,120.0,72.0
D:\DA_Projects\CV_Projects\Cigarettes\cig_butts\train\images00000103.jpg,512,512,331.5,208.5,114.5,56.0
D:\DA_Projects\CV_Projects\Cigarettes\cig_butts\train\images00000104.jpg,512,512,307.5,350.5,69.0,49.0
D:\DA_Projects\CV_Projects\Cigarettes\cig_butts\train\images00000105.jpg,512,512,61.5,46.5,46.0,91.0
D:\DA_Projects\CV_Projects\Cigarettes\cig_butts\train\images00000106.jpg,512,512,400.5,186.5,76.0,73.0
D:\DA_Projects\CV_Projects\Cigarettes\cig_butts\train\images00000107.jpg,512,512,298.5,79.5,87.0,63.0
D:\DA_Projects\CV_Projects\Cigarettes\cig_butts\train\images00000108.jpg,512,512,85.5,160.5,90.0,136.0
D:\DA_Projects\CV_Projects\Cigarettes\cig_butts\train\images00000109.jpg,512,512,366.5,111.5,29.0,76.0
D:\DA_Projects\CV_Projects\Cigarettes\cig_butts\train\images00000110.jpg,512,512,280.5,203.5,48.0,122.0
D:\DA_Projects\CV_Projects\Cigarettes\cig_butts\train\images00000111.jpg,512,512,417.5,162.5,58.0,73.0
D:\DA_Projects\CV_Projects\Cigarettes\cig_butts\train\images00000112.jpg,512,512,126.5,121.5,179.0,72.0
D:\DA_Projects\CV_Projects\Cigarettes\cig_butts\train\images00000113.jpg,512,512,26.5,117.5,45.0,62.0
D:\DA_Projects\CV_Projects\Cigarettes\cig_butts\train\images00000114.jpg,512,512,345.5,425.5,53.0,50.0
D:\DA_Projects\CV_Projects\Cigarettes\cig_butts\train\images00000115.jpg,512,512,76.5,334.5,105.0,53.0
D:\DA_Projects\CV_Projects\Cigarettes\cig_butts\train\images00000116.jpg,512,512,135.5,242.5,109.0,44.0
D:\DA_Projects\CV_Projects\Cigarettes\cig_butts\train\images00000117.jpg,512,512,97.5,211.5,48.0,53.0
D:\DA_Projects\CV_Projects\Cigarettes\cig_butts\train\images00000118.jpg,512,512,79.5,376.5,101.0,72.0
D:\DA_Projects\CV_Projects\Cigarettes\cig_butts\train\images00000119.jpg,512,512,198.5,145.5,90.0,36.0
D:\DA_Projects\CV_Projects\Cigarettes\cig_butts\train\images00000120.jpg,512,512,230.5,29.5,49.0,59.0
D:\DA_Projects\CV_Projects\Cigarettes\cig_butts\train\images00000121.jpg,512,512,175.0,243.5,161.5,70.0
D:\DA_Projects\CV_Projects\Cigarettes\cig_butts\train\images00000122.jpg,512,512,178.5,106.5,78.0,78.0
D:\DA_Projects\CV_Projects\Cigarettes\cig_butts\train\images00000123.jpg,512,512,122.5,236.5,35.0,50.0
D:\DA_Projects\CV_Projects\Cigarettes\cig_butts\train\images00000124.jpg,512,512,55.5,38.5,81.0,93.0
D:\DA_Projects\CV_Projects\Cigarettes\cig_butts\train\images00000125.jpg,512,512,296.5,83.5,157.0,53.0
D:\DA_Projects\CV_Projects\Cigarettes\cig_butts\train\images00000126.jpg,512,512,412.5,321.5,87.0,60.0
D:\DA_Projects\CV_Projects\Cigarettes\cig_butts\train\images00000127.jpg,512,512,79.5,22.5,79.0,95.0
D:\DA_Projects\CV_Projects\Cigarettes\cig_butts\train\images00000128.jpg,512,512,31.5,310.5,33.0,94.0
D:\DA_Projects\CV_Projects\Cigarettes\cig_butts\train\images00000129.jpg,512,512,47.5,377.5,76.0,37.0
D:\DA_Projects\CV_Projects\Cigarettes\cig_butts\train\images00000130.jpg,512,512,121.5,209.5,155.0,110.0
D:\DA_Projects\CV_Projects\Cigarettes\cig_butts\train\images00000131.jpg,512,512,137.5,256.5,115.0,32.0
D:\DA_Projects\CV_Projects\Cigarettes\cig_butts\train\images00000132.jpg,512,512,153.5,295.5,39.0,49.0
D:\DA_Projects\CV_Projects\Cigarettes\cig_butts\train\images00000133.jpg,512,512,94.5,243.5,38.0,62.0
D:\DA_Projects\CV_Projects\Cigarettes\cig_butts\train\images00000134.jpg,512,512,246.5,198.5,60.0,28.0
D:\DA_Projects\CV_Projects\Cigarettes\cig_butts\train\images00000135.jpg,512,512,12.5,224.5,168.0,57.0
D:\DA_Projects\CV_Projects\Cigarettes\cig_butts\train\images00000136.jpg,512,512,139.5,382.5,61.0,21.0
D:\DA_Projects\CV_Projects\Cigarettes\cig_butts\train\images00000137.jpg,512,512,378.5,222.5,60.0,56.0
D:\DA_Projects\CV_Projects\Cigarettes\cig_butts\train\images00000138.jpg,512,512,327.5,307.5,59.0,75.0
D:\DA_Projects\CV_Projects\Cigarettes\cig_butts\train\images00000139.jpg,512,512,429.5,376.5,64.0,83.0
D:\DA_Projects\CV_Projects\Cigarettes\cig_butts\train\images00000140.jpg,512,512,179.5,84.5,58.0,83.0
D:\DA_Projects\CV_Projects\Cigarettes\cig_butts\train\images00000141.jpg,512,512,166.5,167.5,121.0,66.0
D:\DA_Projects\CV_Projects\Cigarettes\cig_butts\train\images00000142.jpg,512,512,426.5,286.5,30.0,112.0
D:\DA_Projects\CV_Projects\Cigarettes\cig_butts\train\images00000143.jpg,512,512,110.0,198.5,75.5,46.0
D:\DA_Projects\CV_Projects\Cigarettes\cig_butts\train\images00000144.jpg,512,512,93.5,302.5,81.0,37.0
D:\DA_Projects\CV_Projects\Cigarettes\cig_butts\train\images00000145.jpg,512,512,169.5,149.5,117.0,144.0
D:\DA_Projects\CV_Projects\Cigarettes\cig_butts\train\images00000146.jpg,512,512,57.5,234.5,52.0,58.0
D:\DA_Projects\CV_Projects\Cigarettes\cig_butts\train\images00000147.jpg,512,512,279.5,45.5,36.0,166.0
D:\DA_Projects\CV_Projects\Cigarettes\cig_butts\train\images00000148.jpg,512,512,106.5,105.5,48.0,63.0
D:\DA_Projects\CV_Projects\Cigarettes\cig_butts\train\images00000149.jpg,512,512,81.5,168.5,70.0,34.0
D:\DA_Projects\CV_Projects\Cigarettes\cig_butts\train\images00000150.jpg,512,512,110.5,19.5,60.0,157.0
D:\DA_Projects\CV_Projects\Cigarettes\cig_butts\train\images00000151.jpg,512,512,124.5,51.5,75.0,66.0
D:\DA_Projects\CV_Projects\Cigarettes\cig_butts\train\images00000152.jpg,512,512,137.5,124.5,19.0,60.0
D:\DA_Projects\CV_Projects\Cigarettes\cig_butts\train\images00000153.jpg,512,512,212.5,378.5,41.0,85.0
D:\DA_Projects\CV_Projects\Cigarettes\cig_butts\train\images00000154.jpg,512,512,393.5,154.5,97.0,91.0
D:\DA_Projects\CV_Projects\Cigarettes\cig_butts\train\images00000155.jpg,512,512,422.5,58.5,37.0,84.0
D:\DA_Projects\CV_Projects\Cigarettes\cig_butts\train\images00000156.jpg,512,512,411.5,284.5,32.0,73.0
D:\DA_Projects\CV_Projects\Cigarettes\cig_butts\train\images00000157.jpg,512,512,228.5,29.5,125.0,71.0
D:\DA_Projects\CV_Projects\Cigarettes\cig_butts\train\images00000158.jpg,512,512,433.5,434.5,55.0,45.0
D:\DA_Projects\CV_Projects\Cigarettes\cig_butts\train\images00000159.jpg,512,512,114.5,38.5,41.0,60.0
D:\DA_Projects\CV_Projects\Cigarettes\cig_butts\train\images00000160.jpg,512,512,329.5,271.5,88.0,40.0
D:\DA_Projects\CV_Projects\Cigarettes\cig_butts\train\images00000161.jpg,512,512,81.5,390.5,149.0,66.0
D:\DA_Projects\CV_Projects\Cigarettes\cig_butts\train\images00000162.jpg,512,512,288.5,90.5,65.0,38.0
D:\DA_Projects\CV_Projects\Cigarettes\cig_butts\train\images00000163.jpg,512,512,222.5,76.5,75.0,38.0
D:\DA_Projects\CV_Projects\Cigarettes\cig_butts\train\images00000164.jpg,512,512,75.5,415.5,103.0,83.0
D:\DA_Projects\CV_Projects\Cigarettes\cig_butts\train\images00000165.jpg,512,512,350.5,135.5,91.0,52.0
D:\DA_Projects\CV_Projects\Cigarettes\cig_butts\train\images00000166.jpg,512,512,216.5,423.5,86.0,48.0
D:\DA_Projects\CV_Projects\Cigarettes\cig_butts\train\images00000167.jpg,512,512,118.5,193.5,84.0,113.0
D:\DA_Projects\CV_Projects\Cigarettes\cig_butts\train\images00000168.jpg,512,512,206.5,51.5,73.5,32.0
D:\DA_Projects\CV_Projects\Cigarettes\cig_butts\train\images00000169.jpg,512,512,222.5,386.5,81.0,38.0
D:\DA_Projects\CV_Projects\Cigarettes\cig_butts\train\images00000170.jpg,512,512,104.5,309.5,52.0,63.0
D:\DA_Projects\CV_Projects\Cigarettes\cig_butts\train\images00000171.jpg,512,512,40.5,85.5,109.0,38.0
D:\DA_Projects\CV_Projects\Cigarettes\cig_butts\train\images00000172.jpg,512,512,138.5,315.5,83.0,103.0
D:\DA_Projects\CV_Projects\Cigarettes\cig_butts\train\images00000173.jpg,512,512,195.5,165.5,45.0,31.0
D:\DA_Projects\CV_Projects\Cigarettes\cig_butts\train\images00000174.jpg,512,512,243.5,320.5,49.0,37.0
D:\DA_Projects\CV_Projects\Cigarettes\cig_butts\train\images00000175.jpg,512,512,170.5,190.5,77.0,76.0
D:\DA_Projects\CV_Projects\Cigarettes\cig_butts\train\images00000176.jpg,512,512,214.5,154.5,91.0,66.0
D:\DA_Projects\CV_Projects\Cigarettes\cig_butts\train\images00000177.jpg,512,512,38.0,140.5,62.5,47.0
D:\DA_Projects\CV_Projects\Cigarettes\cig_butts\train\images00000178.jpg,512,512,291.5,197.5,50.0,62.0
D:\DA_Projects\CV_Projects\Cigarettes\cig_butts\train\images00000179.jpg,512,512,303.5,90.5,34.0,43.0
D:\DA_Projects\CV_Projects\Cigarettes\cig_butts\train\images00000180.jpg,512,512,254.5,61.5,40.0,43.0
D:\DA_Projects\CV_Projects\Cigarettes\cig_butts\train\images00000181.jpg,512,512,298.5,263.5,64.0,47.0
D:\DA_Projects\CV_Projects\Cigarettes\cig_butts\train\images00000182.jpg,512,512,212.5,110.5,38.0,145.0
D:\DA_Projects\CV_Projects\Cigarettes\cig_butts\train\images00000183.jpg,512,512,130.5,327.5,91.0,109.0
D:\DA_Projects\CV_Projects\Cigarettes\cig_butts\train\images00000184.jpg,512,512,153.5,114.5,50.0,104.0
D:\DA_Projects\CV_Projects\Cigarettes\cig_butts\train\images00000185.jpg,512,512,311.5,421.5,38.0,52.0
D:\DA_Projects\CV_Projects\Cigarettes\cig_butts\train\images00000186.jpg,512,512,149.5,143.5,83.0,25.0
D:\DA_Projects\CV_Projects\Cigarettes\cig_butts\train\images00000187.jpg,512,512,134.5,300.5,111.0,38.0
D:\DA_Projects\CV_Projects\Cigarettes\cig_butts\train\images00000188.jpg,512,512,225.5,210.5,73.0,82.0
D:\DA_Projects\CV_Projects\Cigarettes\cig_butts\train\images00000189.jpg,512,512,188.5,246.5,122.0,114.0
D:\DA_Projects\CV_Projects\Cigarettes\cig_butts\train\images00000190.jpg,512,512,231.5,101.5,144.0,46.0
D:\DA_Projects\CV_Projects\Cigarettes\cig_butts\train\images00000191.jpg,512,512,190.5,210.5,143.0,63.0
D:\DA_Projects\CV_Projects\Cigarettes\cig_butts\train\images00000192.jpg,512,512,312.5,163.5,166.0,65.0
D:\DA_Projects\CV_Projects\Cigarettes\cig_butts\train\images00000193.jpg,512,512,11.0,459.5,66.5,46.0
D:\DA_Projects\CV_Projects\Cigarettes\cig_butts\train\images00000194.jpg,512,512,324.5,80.5,43.0,74.0
D:\DA_Projects\CV_Projects\Cigarettes\cig_butts\train\images00000195.jpg,512,512,271.5,227.0,86.0,50.5
D:\DA_Projects\CV_Projects\Cigarettes\cig_butts\train\images00000196.jpg,512,512,352.5,205.5,30.0,87.0
D:\DA_Projects\CV_Projects\Cigarettes\cig_butts\train\images00000197.jpg,512,512,350.5,226.5,31.0,48.0
D:\DA_Projects\CV_Projects\Cigarettes\cig_butts\train\images00000198.jpg,512,512,402.5,363.5,53.0,71.0
D:\DA_Projects\CV_Projects\Cigarettes\cig_butts\train\images00000199.jpg,512,512,85.5,203.5,66.0,73.0
D:\DA_Projects\CV_Projects\Cigarettes\cig_butts\train\images00000200.jpg,512,512,96.5,79.5,21.0,51.0
D:\DA_Projects\CV_Projects\Cigarettes\cig_butts\train\images00000201.jpg,512,512,163.5,77.5,56.0,131.0
D:\DA_Projects\CV_Projects\Cigarettes\cig_butts\train\images00000202.jpg,512,512,219.5,150.5,98.0,83.0
D:\DA_Projects\CV_Projects\Cigarettes\cig_butts\train\images00000203.jpg,512,512,154.5,318.5,55.0,39.0
D:\DA_Projects\CV_Projects\Cigarettes\cig_butts\train\images00000204.jpg,512,512,40.5,22.5,57.0,186.0
D:\DA_Projects\CV_Projects\Cigarettes\cig_butts\train\images00000205.jpg,512,512,314.5,383.5,62.0,49.0
D:\DA_Projects\CV_Projects\Cigarettes\cig_butts\train\images00000206.jpg,512,512,81.5,129.5,114.0,38.0
D:\DA_Projects\CV_Projects\Cigarettes\cig_butts\train\images00000207.jpg,512,512,209.5,282.5,91.0,132.0
D:\DA_Projects\CV_Projects\Cigarettes\cig_butts\train\images00000208.jpg,512,512,307.5,341.5,52.0,65.0
D:\DA_Projects\CV_Projects\Cigarettes\cig_butts\train\images00000209.jpg,512,512,79.5,307.5,81.0,28.0
D:\DA_Projects\CV_Projects\Cigarettes\cig_butts\train\images00000210.jpg,512,512,253.5,357.5,38.0,53.0
D:\DA_Projects\CV_Projects\Cigarettes\cig_butts\train\images00000211.jpg,512,512,254.5,337.5,59.0,24.0
D:\DA_Projects\CV_Projects\Cigarettes\cig_butts\train\images00000212.jpg,512,512,342.5,198.5,38.0,67.0
D:\DA_Projects\CV_Projects\Cigarettes\cig_butts\train\images00000213.jpg,512,512,34.5,236.5,87.0,71.0
D:\DA_Projects\CV_Projects\Cigarettes\cig_butts\train\images00000214.jpg,512,512,389.5,345.5,106.0,60.0
D:\DA_Projects\CV_Projects\Cigarettes\cig_butts\train\images00000215.jpg,512,512,374.5,165.5,84.0,36.0
D:\DA_Projects\CV_Projects\Cigarettes\cig_butts\train\images00000216.jpg,512,512,295.5,382.5,46.0,51.0
D:\DA_Projects\CV_Projects\Cigarettes\cig_butts\train\images00000217.jpg,512,512,83.5,103.5,40.0,138.0
D:\DA_Projects\CV_Projects\Cigarettes\cig_butts\train\images00000218.jpg,512,512,301.5,37.5,65.0,76.0
D:\DA_Projects\CV_Projects\Cigarettes\cig_butts\train\images00000219.jpg,512,512,199.5,80.5,52.0,37.0
D:\DA_Projects\CV_Projects\Cigarettes\cig_butts\train\images00000220.jpg,512,512,348.5,254.5,59.0,110.0
D:\DA_Projects\CV_Projects\Cigarettes\cig_butts\train\images00000221.jpg,512,512,322.5,33.5,30.0,65.0
D:\DA_Projects\CV_Projects\Cigarettes\cig_butts\train\images00000222.jpg,512,512,33.5,319.5,72.0,119.0
D:\DA_Projects\CV_Projects\Cigarettes\cig_butts\train\images00000223.jpg,512,512,27.5,361.5,72.0,94.0
D:\DA_Projects\CV_Projects\Cigarettes\cig_butts\train\images00000224.jpg,512,512,91.5,173.5,61.0,62.0
D:\DA_Projects\CV_Projects\Cigarettes\cig_butts\train\images00000225.jpg,512,512,52.5,341.5,119.0,145.0
D:\DA_Projects\CV_Projects\Cigarettes\cig_butts\train\images00000226.jpg,512,512,155.5,165.5,119.0,59.0
D:\DA_Projects\CV_Projects\Cigarettes\cig_butts\train\images00000227.jpg,512,512,30.5,63.0,65.0,40.5
